formula,temperature_k,source_reference,temperature_band,is_feasible,absS_uV_per_K,electrical_conductivity_S_per_m,log10_sigma,thermal_conductivity_W_per_mK,power_factor_W_per_mK2,ZT,feat_mean_atomic_number,feat_mean_atomic_volume,feat_mean_atomic_weight,feat_std_atomic_number,feat_std_atomic_volume,feat_std_atomic_weight,feat_max_atomic_number,feat_max_atomic_volume,feat_max_atomic_weight,feat_min_atomic_number,feat_min_atomic_volume,feat_min_atomic_weight,feat_temperature_norm,obj_absS_scaled,obj_log10_sigma_scaled,obj_neg_kappa_scaled,con_zt_slack,con_pf_slack
Ag0.97CuSe,557.0,https://doi.org/10.1021/ic502102e,mid,0,204.46,15597.0,4.193041072153242,0.564,0.0006520152972852,0.6439229088437172,36.562289562289564,11.272274713552662,83.21520336700337,7.586537784494028,3.872363232789692,18.370980151919554,47.0,16.421501351632354,107.8682,29.0,7.0921875,63.546,0.8566666666666637,0.19351341069050773,0.798344058459293,0.992706333973114,0.15607709115628288,0.0005479847027147999
Ag0.98Nb0.02BiSe2.0,375.0,10.1021/ja312474n,mid,0,138.0,16000.0,4.204119982655925,0.69,0.000304704,0.1656,49.47,16.118457900012437,118.62284085,18.89940475253123,4.5173288426064335,51.144648167884284,83.0,21.346312563840655,208.9804,34.0,10.273161904761904,78.971,0.24999999999999914,0.13030245387102898,0.7995134257371649,0.990846006201078,0.6344000000000001,0.0008952959999999999
Ag0.98Nb0.02BiSe2.0,425.0,10.1021/ja312474n,mid,0,150.0,14713.0,4.167701234971368,0.68,0.0003310425,0.2069015625,49.47,16.118457900012437,118.62284085,18.89940475253123,4.5173288426064335,51.144648167884284,83.0,21.346312563840655,208.9804,34.0,10.273161904761904,78.971,0.41666666666666524,0.14171580749476875,0.7956694654638979,0.9909936512623505,0.5930984375,0.0008689574999999999
Ag0.98Nb0.02BiSe2.0,478.0,10.1021/ja312474n,mid,0,164.7,11852.0,4.073791642808014,0.666,0.00032149841867999993,0.2307451113048648,49.47,16.118457900012437,118.62284085,18.89940475253123,4.5173288426064335,51.144648167884284,83.0,21.346312563840655,208.9804,34.0,10.273161904761904,78.971,0.5933333333333313,0.15569716568384995,0.7857574074029972,0.9912003543481325,0.5692548886951352,0.00087850158132
Ag0.98Nb0.02BiSe2.0,528.0,10.1021/ja312474n,mid,0,189.2,7853.0,3.8950355974523228,0.61,0.00028111101391999993,0.24332232024550818,49.47,16.118457900012437,118.62284085,18.89940475253123,4.5173288426064335,51.144648167884284,83.0,21.346312563840655,208.9804,34.0,10.273161904761904,78.971,0.7599999999999975,0.17899942933231863,0.7668898960073501,0.9920271666912596,0.5566776797544919,0.00091888898608
Ag0.98Nb0.02BiSe2.0,577.0,10.1021/ja312474n,mid,0,223.7,6305.0,3.7996850909091004,0.487,0.00031551285545,0.37382118602597536,49.47,16.118457900012437,118.62284085,18.89940475253123,4.5173288426064335,51.144648167884284,83.0,21.346312563840655,208.9804,34.0,10.273161904761904,78.971,0.9233333333333302,0.21181282100057044,0.7568257509586876,0.9938432009449137,0.4261788139740247,0.0008844871445499999
Ag0.9Sb0.9Pb18.3Te19.9,373.0,https://doi.org/10.1016/j.jallcom.2004.08.049,mid,0,372.8,1872.0,3.2723058444020863,1.038,0.00026017026048,0.09349085468115606,65.59,19.216411994876275,163.4416345,13.982131454109563,3.889084773359745,38.82604773998378,82.0,20.47496790757381,207.2,47.0,10.273161904761904,107.8682,0.2433333333333325,0.35362373977553707,0.7011614296569969,0.9857079580687881,0.706509145318844,0.0009398297395199999
Ag0.9Sb0.9Pb18.3Te19.9,423.0,https://doi.org/10.1016/j.jallcom.2004.08.049,mid,0,360.0,3168.0,3.500785172917456,0.955,0.0004105728,0.18185580565445025,65.59,19.216411994876275,163.4416345,13.982131454109563,3.889084773359745,38.82604773998378,82.0,20.47496790757381,207.2,47.0,10.273161904761904,107.8682,0.4099999999999986,0.3414494959102146,0.7252771809640688,0.9869334120773514,0.6181441943455498,0.0007894272
Ag0.9Sb0.9Pb18.3Te19.9,473.0,https://doi.org/10.1016/j.jallcom.2004.08.049,mid,0,320.0,5800.0,3.7634279935629373,0.91,0.00059392,0.30870786813186807,65.59,19.216411994876275,163.4416345,13.982131454109563,3.889084773359745,38.82604773998378,82.0,20.47496790757381,207.2,47.0,10.273161904761904,107.8682,0.5766666666666647,0.30340498383108205,0.752998852707551,0.9875978148530786,0.491292131868132,0.0006060799999999999
Ag0.9Sb0.9Pb18.3Te19.9,523.0,https://doi.org/10.1016/j.jallcom.2004.08.049,mid,0,296.0,8625.0,3.935759103745312,0.858,0.000755688,0.460634993006993,65.59,19.216411994876275,163.4416345,13.982131454109563,3.889084773359745,38.82604773998378,82.0,20.47496790757381,207.2,47.0,10.273161904761904,107.8682,0.7433333333333308,0.28057827658360257,0.7711882189956708,0.9883655691716965,0.33936500699300703,0.0004443119999999999
Ag1.1Sb0.8Pb15.5Te22.6,373.0,https://doi.org/10.1016/j.jallcom.2004.08.049,mid,0,320.0,5000.0,3.6989700043360187,1.11,0.000512,0.187,63.46750000000001,19.32072945287702,157.7855755,13.982131454109563,3.889084773359745,38.82604773998378,82.0,20.47496790757381,207.2,47.0,10.273161904761904,107.8682,0.2433333333333325,0.30340498383108205,0.7461953801656325,0.9846449136276246,0.613,0.0006879999999999999
